TIME,Antarctic mass
2002.29,0
2002.35,23.73
2002.62,-53.28
2002.71,47.7
2002.79,69.45
2002.87,-62.09
2002.96,-44.13
2003.04,-48.98
2003.12,-197.1
2003.2,-166.29
2003.29,-37.85
2003.36,4.35
2003.54,-121.19
2003.62,-115.75
2003.71,-123.78
2003.79,-40.57
2003.87,-100.22
2003.96,-265.54
2004.02,-325.3
2004.13,-484.91
2004.21,-333.09
2004.29,-380.13
2004.37,-149.52
2004.46,-182.15
2004.54,-306.74
2004.62,-160.16
2004.71,-155.78
2004.79,-79.17
2004.87,-221.32
2004.96,-300.19
2005.04,-387.3
2005.12,-449.18
2005.2,-399.98
2005.29,-245.96
2005.37,-223.86
2005.46,-199.5
2005.54,-153.63
2005.62,-203.51
2005.71,-106.88
2005.79,-99.45
2005.87,-53.29
2005.96,-157.54
2006.04,-219.59
2006.12,-312.83
2006.2,-177.68
2006.29,-152.75
2006.37,-74.84
2006.45,-44.4
2006.54,-93.24
2006.62,-2.55
2006.71,-15.14
2006.79,-90.04
2006.87,-83.03
2006.96,-228.71
2007.04,-433.15
2007.12,-423.62
2007.2,-355.01
2007.29,-330.09
2007.37,-172.92
2007.45,-185.4
2007.54,-262.06
2007.62,-224.87
2007.71,-151.81
2007.79,-241.16
2007.87,-433.48
2007.96,-515.91
2008.04,-723.67
2008.12,-602.65
2008.21,-734.66
2008.29,-556.95
2008.37,-468.2
2008.46,-551.81
2008.54,-645.65
2008.62,-597.24
2008.71,-436.39
2008.79,-527.02
2008.87,-514.93
2008.96,-619
2009.04,-700.92
2009.12,-675.6
2009.2,-612.26
2009.29,-573.94
2009.37,-547.67
2009.46,-535.09
2009.54,-432.54
2009.62,-462.55
2009.71,-475.68
2009.79,-530.9
2009.87,-516.8
2009.96,-626.83
2010.04,-797.52
2010.12,-802.68
2010.2,-684.5
2010.29,-754.41
2010.37,-775.77
2010.45,-792
2010.54,-992.01
2010.62,-918.97
2010.71,-840.98
2010.79,-872.7
2010.87,-892.9
2010.95,-905.71
2011.13,-996.76
2011.2,-1011.75
2011.29,-1023.06
2011.37,-958.05
2011.54,-904.51
2011.62,-919.99
2011.71,-831.76
2011.79,-877.03
2011.83,-872.87
2012,-1140.55
2012.04,-1070.62
2012.12,-1133.83
2012.21,-1110.61
2012.26,-1050.35
2012.46,-1086.82
2012.54,-1053.3
2012.62,-973.87
2012.7,-938.8
2012.88,-1061.6
2012.96,-1110.11
2013.04,-1279.21
2013.12,-1387.4
2013.3,-1128.97
2013.37,-1229.96
2013.46,-1238.45
2013.54,-1199.97
2013.79,-1291.44
2013.87,-1339.03
2013.96,-1390.29
2014.02,-1499.33
2014.2,-1607.28
2014.29,-1526.42
2014.37,-1432.47
2014.45,-1476.62
2014.62,-1524.55
2014.71,-1351.24
2014.79,-1440.89
2014.88,-1515.88
2015.06,-1820.83
2015.12,-1896.8
2015.2,-1863.21
2015.29,-1840.99
2015.32,-1768.96
2015.53,-1735.5
2015.62,-1885.86
2015.7,-1839.14
2015.98,-1883.7
2016.04,-1906.29
2016.12,-1982.09
2016.21,-1917.98
2016.38,-1780.69
2016.46,-1763.74
2016.54,-1644.73
2016.64,-1590.2
2016.91,-1661.52
2016.98,-1574.82
2017.06,-1594.94
2017.25,-1916.72
2017.31,-1838.61
2017.36,-1803.27
2017.44,-1800.63
2018.45,-1973.21
2018.52,-1988.3
2018.83,-2247.5
2018.87,-2212.22
2018.96,-2265.42
2019.04,-2356.28
2019.12,-2399.55
2019.2,-2303.37
2019.29,-2123.21
2019.37,-2175.69
2019.45,-2267.67
2019.54,-2171.98
2019.62,-2217.63
2019.71,-2092.96
2019.79,-2276.04
2019.87,-2336.95
2019.96,-2382.88
2020.04,-2691.81
2020.12,-2797.47
2020.21,-2617.74
2020.29,-2525.24
2020.37,-2446.41
2020.46,-2413.99
2020.54,-2346.75
2020.62,-2239.45
2020.71,-2426.87
2020.79,-2526.37
2020.87,-2573.25
2020.96,-2726.58
2021.04,-3041.99
2021.12,-2726.7
2021.2,-2680.64
2021.29,-2472.33
2021.37,-2455.87
2021.46,-2622.26
2021.54,-2670.07
2021.62,-2622.88
2021.71,-2693.6
